id,parent_id/id,code,name,user_type_id/id,reconcile,company_ids/id,chart_template_id/id
ka6005U81,ka421310U00,6005.U81,Penyuluhan,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6005U89,ka421310U00,6005.U89,Biaya lain-lain,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6005U90,ka421310U00,6005.U90,Restitusi penyemprotan ZPK,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka421320U00,ka421300U00,421320.U00,Tebangan Tebu,ka_account.data_account_type_view,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6020U00,ka421320U00,6020.U00,Gaji Staf,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6020U01,ka421320U00,6020.U01,Upah Pekerja Tetap,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6020U02,ka421320U00,6020.U02,Upah Pekerja Kampanye,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6020U03,ka421320U00,6020.U03,Upah Pekerja Tidak Tetap,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6020U04,ka421320U00,6020.U04,Lembur LMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6020U05,ka421320U00,6020.U05,Lembur DMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6020U06,ka421320U00,6020.U06,Upah borongan,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6020U70,ka421320U00,6020.U70,Tebang & angkut,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6020U71,ka421320U00,6020.U71,Perkakas tebangan,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6020U89,ka421320U00,6020.U89,Biaya lain-lain,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6020U90,ka421320U00,6020.U90,Restitusi tebangan d/petani,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka421330U00,ka421300U00,421330.U00,Angkutan Tebu,ka_account.data_account_type_view,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6030U00,ka421330U00,6030.U00,Gaji Staf,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6030U01,ka421330U00,6030.U01,Upah Pekerja Tetap,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6030U02,ka421330U00,6030.U02,Upah Pekerja Kampanye,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6030U03,ka421330U00,6030.U03,Upah Pekerja Tidak Tetap,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6030U04,ka421330U00,6030.U04,Lembur LMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6030U05,ka421330U00,6030.U05,Lembur DMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6030U34,ka421330U00,6030.U34,Asuransi,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6030U56,ka421330U00,6030.U56,Perkakas,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6030U89,ka421330U00,6030.U89,Perbaikan /Pemeliharaan,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6030U90,ka421330U00,6030.U90,Biaya lain-lain,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka6030U92,ka421330U00,6030.U92,Restitusi biaya derek,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka422010U00,ka420000U00,422010.U00,Instalasi,ka_account.data_account_type_view,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5000U00,ka422010U00,5000.U00,Gaji Staf,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5000U01,ka422010U00,5000.U01,Upah Pekerja Tetap,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5000U02,ka422010U00,5000.U02,Upah Pekerja Kampanye,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5000U03,ka422010U00,5000.U03,Upah Pekerja Tidak Tetap,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5000U04,ka422010U00,5000.U04,Lembur LMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5000U05,ka422010U00,5000.U05,Lembur DMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5000U29,ka422010U00,5000.U29,Biaya pengujian,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5000U34,ka422010U00,5000.U34,Asuransi,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5000U38,ka422010U00,5000.U38,Penyusutan,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5000U56,ka422010U00,5000.U56,Perkakas,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5000U57,ka422010U00,5000.U57,Pemadam kebakaran,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5000U59,ka422010U00,5000.U59,Perbaikan/pemeliharaan,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5000U89,ka422010U00,5000.U89,Biaya lain-lain,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka422020U00,ka420000U00,422020.U00,Stasiun Gilingan,ka_account.data_account_type_view,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5002U01,ka422020U00,5002.U01,Upah Pekerja Tetap,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5002U02,ka422020U00,5002.U02,Upah Pekerja Kampanye,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5002U03,ka422020U00,5002.U03,Upah Pekerja Tidak Tetap,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5002U04,ka422020U00,5002.U04,Lembur LMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5002U05,ka422020U00,5002.U05,Lembur DMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5002U38,ka422020U00,5002.U38,Penyusutan,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5002U40,ka422020U00,5002.U40,Bahan kimia,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5002U46,ka422020U00,5002.U46,Pelumas DMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5002U58,ka422020U00,5002.U58,Persiapan giling,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5002U59,ka422020U00,5002.U59,Perbaikan/pemeliharaan,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka422030U00,ka420000U00,422030.U00,Stasiun Ketel Uap - Tanpa Bahan Bakar,ka_account.data_account_type_view,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5010U01,ka422030U00,5010.U01,Upah Pekerja Tetap,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5010U02,ka422030U00,5010.U02,Upah Pekerja Kampanye,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5010U03,ka422030U00,5010.U03,Upah Pekerja Tidak Tetap,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5010U04,ka422030U00,5010.U04,Lembur LMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5010U05,ka422030U00,5010.U05,Lembur DMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5010U29,ka422030U00,5010.U29,Biaya Pengujian,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5010U38,ka422030U00,5010.U38,Penyusutan,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5010U40,ka422030U00,5010.U40,Bahan kimia,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5010U44,ka422030U00,5010.U44,Bahan bakar DMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5010U46,ka422030U00,5010.U46,Pelumas DMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5010U49,ka422030U00,5010.U49,Pengelolaan lingkungan,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5010U56,ka422030U00,5010.U56,Perkakas,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5010U58,ka422030U00,5010.U58,Persiapan giling,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5010U59,ka422030U00,5010.U59,Perbaikan/pemeliharaan,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka422040U00,ka420000U00,422040.U00,Stasiun Listrik - Tanpa PLN,ka_account.data_account_type_view,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5011U01,ka422040U00,5011.U01,Upah Pekerja Tetap,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5011U02,ka422040U00,5011.U02,Upah Pekerja Musiman,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5011U03,ka422040U00,5011.U03,Upah Pekerja Tidak Tetap,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5011U04,ka422040U00,5011.U04,Lembur LMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5011U05,ka422040U00,5011.U05,Lembur DMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5011U26,ka422040U00,5011.U26,Listrik PLN LMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5011U38,ka422040U00,5011.U38,Penyusutan,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5011U39,ka422040U00,5011.U39,Listrik PLN DMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5011U43,ka422040U00,5011.U43,Bahan bakar LMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5011U44,ka422040U00,5011.U44,Bahan bakar DMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5011U46,ka422040U00,5011.U46,Pelumas DMG,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5011U56,ka422040U00,5011.U56,Perkakas,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5011U58,ka422040U00,5011.U58,Persiapan giling,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5011U59,ka422040U00,5011.U59,Perbaikan/pemeliharaan,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka422050U00,ka420000U00,422050.U00,Bengkel dan Instrumentasi,ka_account.data_account_type_view,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5012U01,ka422050U00,5012.U01,Upah Pekerja Tetap,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
ka5012U02,ka422050U00,5012.U02,Upah Pekerja Kampanye,account.data_account_type_direct_costs,FALSE,"base.pg_kebonagung,base.pg_trangkil",ka_configurable_chart_template
